foo1	foo1	foo
foo2	foo2	foo
foo3	foo3	foo
foo4	foo4	foo
foo5	foo5	foo
foo6	foo6	foo
foo7	foo7	foo
foo8	foo8	foo
foo9	foo9	foo
foo10	foo10	foo
foo11	foo11	foo
foo12	foo12	foo
foo13	foo13	foo
foo14	foo14	foo
foo15	foo15	foo
foo16	foo16	foo
foo17	foo17	foo
foo18	foo18	foo
foo19	foo19	foo
foo20	foo20	foo
foo21	foo21	foo
foo22	foo22	foo
bar1	bar1	bar
bar2	bar2	bar
bar3	bar3	bar
bar4	bar4	bar
bar5	bar5	bar
bar6	bar6	bar
bar7	bar7	bar
bar8	bar8	bar
bar9	bar9	bar
bar10	bar10	bar
bar11	bar11	bar
bar12	bar12	bar
bar13	bar13	bar
bar14	bar14	bar
bar15	bar15	bar
bar16	bar16	bar
bar17	bar17	bar
bar18	bar18	bar
bar19	bar19	bar
bar20	bar20	bar
bar21	bar21	bar
bar22	bar22	bar
baz1	baz1	baz
baz2	baz2	baz
baz3	baz3	baz
baz4	baz4	baz
baz5	baz5	baz
baz6	baz6	baz
baz7	baz7	baz
baz8	baz8	baz
baz9	baz9	baz
baz10	baz10	baz
baz11	baz11	baz
baz12	baz12	baz
baz13	baz13	baz
baz14	baz14	baz
baz15	baz15	baz
baz16	baz16	baz
baz17	baz17	baz
baz18	baz18	baz
baz19	baz19	baz
baz20	baz20	baz
baz21	baz21	baz
baz22	baz22	baz

